 25.0	  30.0	 -2.5	 -1.5	 0.4559	 0.0196
 25.0	  30.0	 -1.5	  0.0	 0.4614	 0.0166
 25.0	  30.0	  0.0	  1.5	 0.4886	 0.0164
 25.0	  30.0	  1.5	  2.5	 0.5090	 0.0403
 30.0	  35.0	 -2.5	 -1.5	 0.7083	 0.0647
 30.0	  35.0	 -1.5	  0.0	 0.8689	 0.0065
 30.0	  35.0	  0.0	  1.5	 0.8860	 0.0062
 30.0	  35.0	  1.5	  2.5	 0.7007	 0.0221
 35.0	  40.0	 -2.5	 -1.5	 0.7620	 0.0155
 35.0	  40.0	 -1.5	  0.0	 0.8940	 0.0045
 35.0	  40.0	  0.0	  1.5	 0.9011	 0.0045
 35.0	  40.0	  1.5	  2.5	 0.7362	 0.0168
 40.0	  45.0	 -2.5	 -1.5	 0.7519	 0.0142
 40.0	  45.0	 -1.5	  0.0	 0.9236	 0.0035
 40.0	  45.0	  0.0	  1.5	 0.9181	 0.0018
 40.0	  45.0	  1.5	  2.5	 0.7717	 0.0148
 45.0	  50.0	 -2.5	 -1.5	 0.7568	 0.0187
 45.0	  50.0	 -1.5	  0.0	 0.9362	 0.0043
 45.0	  50.0	  0.0	  1.5	 0.9344	 0.0041
 45.0	  50.0	  1.5	  2.5	 0.7622	 0.0160
 50.0	 7000.0	 -2.5	 -1.5	 0.8117	 0.0209
 50.0	 7000.0	 -1.5	  0.0	 0.9463	 0.0051
 50.0	 7000.0	  0.0	  1.5	 0.9400	 0.0050
 50.0	 7000.0	  1.5	  2.5	 0.8247	 0.0186
